company_number,company_name,candidate_domain,http_status,match_strength,matched_on,page_sha256,notes
15744498,NEXARA GROUP LTD,nexaragroup.com,200,weak,distinctive_name_only,6072263c18e957d1f1196773bf04d1b2af9c2f1f85b2812c4c519e7c0c4d58ea,
15744625,DTM SURVEY LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15760555,A TO Z TRANSPORT OXFORD LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15786546,OUTCOME STRIDE LTD,outcomestride.com,200,strong,company_number:15786546,41cb627f3042365714683001357f38806b324d3991e958f604a579ea3ea57daf,
15801064,SOLENT VIEW LOGISTICS LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15815497,BS DRIVEWAYS & CONSTRUCTION LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15822311,PASSION COURIER LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15849177,ATWA DISTRIBUTION LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15868691,EBERTEQ LIMITED,eberteq.com,200,none,,6dc9c7fc93bb488bb0520a6c780a8d3c0fb5486a4711aca49b4c53fac7393023,
15869026,HSPLUS LTD,hsplus.co.uk,200,weak,distinctive_name_only,9d19cd3da5c61c766bff0c23a0e12a53fa1b63fa53fed06355f43958764a5565,1 other candidate(s) also served a page
15887473,SOUTH YORKSHIRE BUILDERS LTD,southyorkshirebuilders.com,200,strong,company_number:15887473,54508759268bf54d795439e381aa0e33ebb51884294505365fcd9a29595fbe7f,
15915240,THE BOHEMIAN BESPOKE OUTFITTERS LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15958641,HELLO RAW LIMITED,helloraw.co.uk,200,weak,distinctive_name_only,e3b7c8b4d83870ead98dba2f2eeb5778db8222d476aaadc65c78dd23fc2c91d1,1 other candidate(s) also served a page
15981577,ADVANCED DRILLING LTD,advanceddrilling.com,200,none,,6dc9c7fc93bb488bb0520a6c780a8d3c0fb5486a4711aca49b4c53fac7393023,
15986634,XV PROPERTY LTD,xvproperty.co.uk,200,none,,6dc9c7fc93bb488bb0520a6c780a8d3c0fb5486a4711aca49b4c53fac7393023,
15988640,CSC PLUMBING HEATING LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15991362,S I R RETAIL LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15996001,QDM PET COMPANY LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16000136,SAFOURWAY LTD,,,no_domain,,,"3 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16007314,PRAPORROM WJ LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16035554,ZOYA’S COLLECTION LTD,zoyascollection.co.uk,200,weak,distinctive_name_only,08beb951cca5fd12a01ebe3c89a0ca0217bb09a888b0165d8a7791260c132b5b,1 other candidate(s) also served a page
16040451,THE LAW CLUB LTD,lawclub.com,200,none,,da505e156b969c416ea68680c31eca726368ac4fbdf3e78a601c6af9a57f643a,redirected to www.karlinlaw.com
16065415,COSEC CHAMP LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: ConnectionError,robots_blocked"
16085049,STRYGER INVESTMENTS LTD.,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16116657,BUILDING & JOINERY CONSTRUCTION LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16121582,MILNE SOLUTIONS LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: 404,DNSFailure"
16130305,HIGHPOINT OFFICES LTD,highpointoffices.co.uk,200,strong,full_registered_name,686df0adb298296151fa29b7f0df203acbc4f6269bf8004fe5af5bee7aded900,
16169213,KG DRIVEWAYS AND LANDSCAPING LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16207825,CAMDAN GROUP LTD,camdangroup.com,200,weak,distinctive_name_only,89f9b0ef76700398bb899af905095d06e4a4210eb7b1871dd13529f15dcd6660,
16210386,BARANSU4H LTD,,,no_domain,,,"3 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16217858,HARRIS & SON’S ELECTRICAL LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16219136,NEXTGEN DATA SOLUTIONS LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16258325,GET-INCLUSIVE LTD,get-inclusive.com,200,strong,full_registered_name,7d327e5807d3486e9a1b6898715d8f1c4b087aaf9c64babbdaa336bd0e5b87d3,2 other candidate(s) also served a page
16259486,JK MEDIA AGENCY LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16276926,BURAKTURAN SOLUTIONS LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16289138,FRAME LABS LIMITED,framelabs.co.uk,200,weak,distinctive_name_only,e2178b5e345c63335a8e254cb334280459bfe619e89a02881ee77d4134c4cdff,1 other candidate(s) also served a page
16290126,ENDICAN CONSULTING LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: ConnectTimeout,DNSFailure"
16302283,TIMGLOBAL LTD,timglobal.uk,200,strong,full_registered_name,b6955e02785329db9d9066dde2b10f10b5ad0edb4fcebb3ccb42f9e2d5d50d8b,1 other candidate(s) also served a page
16331646,UNINHIBITED DEVELOPMENT SOLUTIONS LTD,uninhibiteddevelopmentsolutions.co.uk,200,weak,distinctive_name_only,ca12afa343d079d2ff1b089f6f9c645dde4ef8b243cbc028658d2a814bd5c5ee,possible placeholder page (under construction)
16351070,RKS HEALTH CONSULTING LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure,SSLError"
16355852,SDC SURVEYORS LIMITED,sdcsurveyors.com,200,none,,9b1e11aa8ae7994a20d52bc255f62aca06f27c7602efa8f57bd40404251b40d6,
16386166,A2B HOME MARKETS LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16402004,"GUANGZHOU TINE TECHNOLOGYCO., LTD",,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16410618,CHATTAK LTD,chattak.com,200,weak,distinctive_name_only,b1644e3eb11489d49f65f1704b497f2ae7171e04c6ef52011f25adab3262b86c,
